date,mse_cov,n_stocks
2023-05-05,6.212930338546899e-07,330
2023-05-08,5.246658314396562e-07,330
2023-05-09,5.251515405836655e-07,330
2023-05-10,5.321699549991132e-07,329
2023-05-11,4.842165939819462e-07,329
2023-05-12,4.913918450659072e-07,328
2023-05-15,4.947760605702482e-07,326
2023-05-16,5.221362285402634e-07,326
2023-05-17,5.311898844759036e-07,327
2023-05-18,5.364134373431147e-07,327
2023-05-19,5.107646642025904e-07,326
2023-05-22,5.14755186368232e-07,327
2023-05-23,1.6734448159939425e-07,326
2023-05-24,1.2919612565278438e-07,326
2023-05-25,1.2279831553979905e-07,326
2023-05-26,1.2192094667597418e-07,327
2023-05-29,1.1653733729927566e-07,326
2023-05-30,1.0485248523316329e-07,327
2023-05-31,1.0066833754179067e-07,332
2023-06-01,9.426811072173532e-08,334
2023-06-02,8.338226438101426e-08,334
2023-06-05,8.449403964465879e-08,335
2023-06-06,8.805368964029746e-08,336
2023-06-07,8.475670615149747e-08,336
2023-06-09,8.222975721239815e-08,336
2023-06-12,7.805706485927291e-08,339
2023-06-13,9.276511522705304e-08,340
2023-06-14,6.802097911267003e-08,339
2023-06-15,6.256357130321888e-08,341
2023-06-16,6.109133930331183e-08,341
2023-06-19,6.286006562051927e-08,341
2023-06-20,6.839040952440283e-08,341
2023-06-21,7.635704129761493e-08,342
2023-06-22,9.544414198235023e-08,343
2023-06-23,9.598403741322963e-08,342
2023-06-26,1.0463472502013411e-07,342
2023-06-27,1.1535029274498842e-07,342
2023-06-28,1.1723103369521129e-07,341
2023-06-29,1.2431324587614102e-07,340
2023-06-30,1.1939516397776129e-07,340
2023-07-03,1.1707668719500842e-07,340
2023-07-04,1.143883107283297e-07,340
2023-07-05,1.064660568426575e-07,337
2023-07-06,1.1723127045402137e-07,337
2023-07-07,1.1910573873611677e-07,336
2023-07-10,1.216268970458043e-07,334
2023-07-11,1.0921808088018795e-07,334
2023-07-12,1.0201273365048496e-07,334
2023-07-13,1.0302074506195654e-07,333
2023-07-14,1.0978674836479989e-07,334
2023-07-17,1.0528633692552165e-07,335
2023-07-18,9.107388735737097e-08,335
2023-07-19,7.841066640593479e-08,335
2023-07-20,6.197406208603766e-08,334
2023-07-21,6.204084881591434e-08,334
2023-07-24,5.981139354228472e-08,334
2023-07-25,5.201661315652469e-08,333
2023-07-26,4.7096426535237946e-08,334
2023-07-27,4.142175900044729e-08,335
2023-07-28,3.90048374837143e-08,332
2023-07-31,3.846299344508499e-08,332
2023-08-01,3.8176081913098844e-08,331
2023-08-02,3.664334411864767e-08,332
2023-08-03,3.103098782910721e-08,331
2023-08-04,2.7986172991632008e-08,332
2023-08-07,2.9099000992953862e-08,332
2023-08-08,3.0688275433559196e-08,331
2023-08-09,3.1312095702530274e-08,332
2023-08-10,3.207093128488638e-08,332
2023-08-11,3.050270535961892e-08,332
2023-08-14,3.646462501283371e-08,334
2023-08-15,4.0792378482158094e-08,335
2023-08-16,4.552139224497279e-08,336
2023-08-17,4.779882518578326e-08,336
2023-08-18,4.667742163574159e-08,336
2023-08-21,4.479231277874554e-08,337
2023-08-22,4.840537554373055e-08,334
2023-08-23,5.2539762742750965e-08,333
2023-08-24,5.368170398845173e-08,332
2023-08-25,5.572820766247361e-08,334
2023-08-28,5.352813119436675e-08,332
2023-08-29,5.4998616101477537e-08,333
2023-08-30,5.492563928630264e-08,332
2023-08-31,5.837941598200264e-08,333
2023-09-01,6.51139126167564e-08,332
2023-09-04,6.421175517080555e-08,332
2023-09-05,6.424728089888721e-08,331
2023-09-06,6.605552569735643e-08,331
2023-09-08,6.276927244256547e-08,331
2023-09-11,6.41750725074509e-08,331
2023-09-12,6.35146843860746e-08,331
2023-09-13,5.981613531913207e-08,331
2023-09-14,5.926049957112299e-08,329
2023-09-15,5.823936436991158e-08,329
2023-09-18,5.738304789459171e-08,329
2023-09-19,5.612869597357764e-08,329
2023-09-20,5.017115364073467e-08,328
2023-09-21,5.156735029088625e-08,328
2023-09-22,5.0170144329428985e-08,328
2023-09-25,4.8424652167839407e-08,328
2023-09-26,4.9603996106352594e-08,328
2023-09-27,4.6267053266550575e-08,327
2023-09-28,5.643642642554032e-08,328
2023-09-29,5.369747542659235e-08,328
2023-10-02,5.888670761907967e-08,327
2023-10-03,7.185389000341902e-08,327
2023-10-04,7.461182122250246e-08,327
2023-10-05,8.215603255298265e-08,326
2023-10-06,8.208416336514445e-08,326
2023-10-09,8.242665467096258e-08,325
2023-10-10,8.999027282461753e-08,324
2023-10-11,9.038351113904043e-08,324
2023-10-13,9.036502701444688e-08,324
2023-10-16,8.685355800712868e-08,325
2023-10-17,8.756480841127924e-08,325
2023-10-18,9.688132093965386e-08,325
2023-10-19,9.41566894755626e-08,326
2023-10-20,6.814173436562613e-08,326
2023-10-23,7.587296547822485e-08,325
2023-10-24,7.870014213830416e-08,326
2023-10-25,8.267136136645602e-08,326
2023-10-26,9.414364461875809e-08,326
2023-10-27,9.294065422227154e-08,326
2023-10-30,8.822403332560858e-08,326
2023-10-31,8.742514518503612e-08,326
2023-11-01,8.394448399880499e-08,326
2023-11-03,1.4621049545497354e-07,325
2023-11-06,1.527472264537666e-07,325
2023-11-07,1.6909289120569676e-07,325
2023-11-08,1.6884150747731652e-07,325
2023-11-09,1.483270868896309e-07,325
2023-11-10,1.5792756099441464e-07,326
2023-11-13,1.392711762716116e-07,327
2023-11-14,1.5811275684741514e-07,327
2023-11-16,1.552530699008326e-07,328
2023-11-17,1.2696606796995797e-07,329
2023-11-20,1.2418278031513595e-07,329
2023-11-21,1.3342476823719675e-07,327
2023-11-22,1.3414178864200776e-07,328
2023-11-23,1.3275289351348684e-07,328
2023-11-24,1.2748447098917237e-07,327
2023-11-27,1.1823326385351194e-07,329
2023-11-28,1.00038461195354e-07,329
2023-11-29,9.040865100838844e-08,327
2023-11-30,8.890085380658783e-08,328
2023-12-01,8.88585839507853e-08,329
2023-12-04,6.00059645271397e-08,329
2023-12-05,5.8521835436463256e-08,329
2023-12-06,5.471820350784235e-08,330
2023-12-07,5.45598534943348e-08,331
2023-12-08,5.326255259725214e-08,333
2023-12-11,5.6782519088221355e-08,333
2023-12-12,5.668557889239043e-08,330
2023-12-13,7.134739586878256e-08,329
2023-12-14,6.759667657469255e-08,329
2023-12-15,6.980475668168195e-08,328
2023-12-18,7.38484620048963e-08,329
2023-12-19,8.870065662377499e-08,330
2023-12-20,8.737586944071451e-08,330
2023-12-21,8.691228314426645e-08,330
2023-12-22,8.458979845946742e-08,333
2023-12-26,8.761633021449421e-08,332
2023-12-27,8.655546563532651e-08,332
2023-12-28,8.014276731115498e-08,332
2024-01-02,1.041175658801419e-07,332
2024-01-03,1.0719685963294265e-07,332
2024-01-04,1.0699795530776937e-07,332
2024-01-05,1.0295741054448386e-07,331
2024-01-08,1.0474975544694304e-07,331
2024-01-09,1.0393891095136374e-07,331
2024-01-10,7.92265081174506e-08,332
2024-01-11,8.007372601818772e-08,333
2024-01-12,7.791120419816946e-08,331
2024-01-15,6.917468978333749e-08,331
2024-01-16,6.77833172366869e-08,329
2024-01-17,6.777751428394374e-08,328
2024-01-18,6.991306935766517e-08,328
2024-01-19,7.081814692678218e-08,328
2024-01-22,7.313986661130344e-08,327
2024-01-23,7.99821889384861e-08,326
2024-01-24,8.405527393414648e-08,326
2024-01-25,8.809241357582744e-08,326
